id	text	count
69677291	省省 吧 ， 没有 人能 让 前任 后悔 。 除非 他 / 她 还 爱 着 。	18
63188574	天蝎座 的 性格 ， 不 走回头路 。	181
63579264	偏个题 ， 为什么 执着 于 让 前任 后悔 ？ 不 甘心 还是 放不下 ？ 我 感觉 真的 没什么 必要 ， 把 日子 过 好 了 ， 谁 还 惦记 以前 那 点破 事 对 吧	39
63314371	所谓 “ 让 前任 后悔 ” 是 心智 不 成熟 的 想法 。 两个 人   彼此 有过 一段   不论 何种 原因 分开   不再 有缘分   各自 向前   各有 各 的 生活   。 让 前任 后悔 是 一种 怨念 或者 是 执念   是 拧 巴 自己 的 一种 生活   是 憋足 了 劲儿 让 人 “ 看 的 上 ” 或者 仰视 的 念头 ， 是 “ 扳回 一局 ” 的 low 想法 。 和 “ 今天 的 我 你 爱理不理 ， 明天 的 我 让 你 高攀不起 ” 的 心理 一样 ， 是 病   得治 。 过去 的 就 过去 ， 回望 是 让 自己 变得 更好 ， 而 不是 让 别人 后悔 。 而且 前任 后不后悔   和 你 有 半 毛钱 关系 嚒 ？	138
63784239	何必 。 你 活得 再 好 对 他 / 她 来说 ， 都 只是 别人 的 故事 。	136
63297446	我 不 知道 他 后不后悔 ， 但是 离开 他 大概 是 我 过 了 二十八年 做 出来 的 最 正确 的 决定 。 从 决定 离婚 到 办完 离婚 手续 用 了 一个月 ， 因为 只是 登记 ， 还 没有 办 酒席 ， 所以 分开 也 很 简单 ， 把 对方 的 东西 还 了 ， 他 还 了 我 一笔 钱 （ 短婚 期间 帮 他 还 信用卡 还有 婚房 装修 等 ） ， 一拍 两散 。 离婚 后 我 消沉 了 一段 ， 然后 正常 上下班 ， 出 了 趟 差 。 离婚 后 第四个 月 ， 有个 男孩子 开始 追 我 ， 是 工作 关系 认识 的 ， 认识 了 很 久 ， 离婚 的 事 他 和 其他 几位 好 朋友 都 第一 时间 知道 的 。 后来 就 在 一起 了 。 他 很 好 ， 不 抽烟 不 喝酒 不 赌博 ， 性格 温和 ， 体贴入微 。 无所谓 我 的 过去 ， 为了 我 去 做 父母 的 工作 。 为了 解开 我 的 心结 想尽办法 。 现在 ， 他 躺 在 我 的 左边 ， 女儿 躺 在 我 的 右边 。 幸福 很 简单 。 我 最 不 后悔 的 就是 离开 那个 人 ， 至于 那个 人 后不后悔 ， 与我何干 ？	69
63639957	本来 刚 分手 的 那会 也 是 忿忿 的 。 毕竟 在 一起 3 年 ， 奔 着 结婚 的 心 把 能 给 的 差不多 都 给 了 ， 结果 别人 耐不住 寂寞 一趟 丽江 之旅 就 跟 朋友 都 不 想要 的 女友 勾搭 在 了 一起 。 也 不能 怪 他 ， 年轻气盛 了 ， 又 是 异地 ， 耐不住 也 正常 。 后来 一度 把 发型 换 了 又 换 ， 风格 变了又变 ， 这 走走 那 逛逛 ， 每 一次 都 要 发 朋友圈 ， 无非 也 是 想要 他 后悔 “ 看吧 ， 没 了 你 我 生活 更加 有滋有味 ” 那 时候 感觉 真是 为了 让 他 看到 我 的 变化 ， 为了 发 朋友圈 才 去 改变 做 这些 事情 。 后来 时间 慢慢 长 了 ， 认识 现在 的 他 。 还有 5 天 就是 我 的 婚礼 。 而 朋友圈 也 都 一个月 更新 不过 3 ， 5 次 。 至于 他 后不后悔 ， 现在 我过 的 这么 开心 ， 谁 还 记得 那些 破事 啊 ！	13
63440292	谢邀 。 凡是 处心积虑 想 让 前任 后悔 的 ， 甭说 成功 没 成功 ， TA 其实 才 是 最 放不下 的 那个 。	68
63291504	不 知道 他 后不后悔 ， 只是 在 分手 后 他 回来 找 了 我 三次 ， 然而 那时 我 已经 对 他 没有 一点 感情 ， 于是 坚持 分 了 手 ， 在 恋爱 时 我 一直 处于 无限 付出 状态 ， 过 端午节 ， 他 出去 和 朋友 喝酒 ， 我 在 寝室 给 他 写 论文 ， 类似 的 事太多 啦 ， 处处 包容 处处 忍让 ， 可 并 没有 什么 用 ， 他 还是 像 个 孩子 一样 无理取闹 。 后来 毅然 提了 分手 ， 分手 之后 他来 找 我 ， 说 他 的 生活 一团乱 ， 我 觉得 是 他 自找 的 ， 平常 都 是 早上 睡 到 上课 ， 早饭 靠 我 给 他 送 ， 水果 也 是 洗 好 送 过去 还要 说 我 耽误 了 他 玩游戏 ， 现在 你 生活 乱七八糟 简直 喜闻乐见 。 后来 又 处 了 男朋友 才 发现 ， 原来 男朋友 应该 是 这样 的 ， 宠 着 我 ， 对 我 好 ， 而 不是 我 单方面 的 一再 付出 ， 真是 长 记性 了 。	23
212119246	后来 我们 成为 了 好 朋友 我 问过 他   你 有没有 后悔 过 他 说 有 我 就 知道   在 这段 感情 中   我 赢 了 身边 朋友 都 说 他 以后 永远 永远 都 遇不到 比 我 更好 的 人 而 我   一定 会 遇见 一个 比 他 好 很多很多 的 人 很 好   我 遇见 到 了 感谢 你 的 离开 和 不 珍惜 让 我 遇见 现在 的 他	12
